version,session,cpu difficulty,handicap,guide,left,top,right
1.1.3,3,Amazing,Off,On,Purple,Yellow,Green
1.1.3,3,Amazing,Off,On,Green,Purple,Blue
1.1.3,3,Amazing,Off,On,Yellow,Red,Red
1.1.3,3,Amazing,Off,On,Blue,Yellow,Yellow
1.1.3,3,Amazing,Off,On,Yellow,Blue,Green
1.1.3,3,Amazing,Off,On,Green,Yellow,Yellow
1.1.3,3,Amazing,Off,On,Yellow,Green,Red
1.1.3,3,Amazing,Off,On,Purple,Green,Red
1.1.3,3,Amazing,Off,On,Green,Purple,Yellow
1.1.3,3,Amazing,Off,On,Yellow,Yellow,Blue
1.1.3,3,Amazing,Off,On,Red,Red,Purple
1.1.3,3,Amazing,Off,On,Purple,Red,Blue
1.1.3,3,Amazing,Off,On,Yellow,Blue,Yellow
1.1.3,3,Amazing,Off,On,Purple,Red,Green
1.1.3,3,Amazing,Off,On,Yellow,Red,Purple
1.1.3,3,Amazing,Off,On,Red,Blue,Blue
1.1.3,3,Amazing,Off,On,Purple,Purple,Purple
1.1.3,3,Amazing,Off,On,Purple,Green,Red
1.1.3,3,Amazing,Off,On,Green,Blue,Blue
1.1.3,3,Amazing,Off,On,Green,Purple,Red
1.1.3,4,Amazing,Off,On,Green,Yellow,Green
1.1.3,4,Amazing,Off,On,Green,Purple,Purple
1.1.3,4,Amazing,Off,On,Purple,Purple,Green
1.1.3,4,Amazing,Off,On,Red,Blue,Purple
1.1.3,4,Amazing,Off,On,Blue,Yellow,Yellow
1.1.3,4,Amazing,Off,On,Blue,Blue,Red
1.1.3,4,Amazing,Off,On,Green,Yellow,Blue
1.1.3,4,Amazing,Off,On,Blue,Green,Purple
1.1.3,4,Amazing,Off,On,Red,Yellow,Green
1.1.3,4,Amazing,Off,On,Red,Red,Red
1.1.3,4,Amazing,Off,On,Purple,Blue,Purple
1.1.3,4,Amazing,Off,On,Red,Red,Purple
1.1.3,5,Amazing,Off,On,Yellow,Green,Yellow
1.1.3,5,Amazing,Off,On,Green,Blue,Yellow
1.1.3,5,Amazing,Off,On,Red,Purple,Green
1.1.3,5,Amazing,Off,On,Purple,Red,Purple
1.1.3,5,Amazing,Off,On,Red,Blue,Red
1.1.3,5,Amazing,Off,On,Red,Green,Blue
1.1.3,5,Amazing,Off,On,Red,Yellow,Purple
1.1.3,5,Amazing,Off,On,Green,Green,Red
1.1.3,5,Amazing,Off,On,Red,Yellow,Red
1.1.3,5,Amazing,Off,On,Red,Purple,Red
1.1.3,5,Amazing,Off,On,Purple,Purple,Yellow
1.1.3,5,Amazing,Off,On,Purple,Red,Red
1.1.3,5,Amazing,Off,On,Blue,Yellow,Blue
1.1.3,5,Amazing,Off,On,Green,Green,Blue
1.1.3,5,Amazing,Off,On,Blue,Yellow,Red
1.1.3,5,Amazing,Off,On,Red,Blue,Purple
1.1.3,5,Amazing,Off,On,Blue,Red,Purple
1.1.3,6,Impossible,Off,On,Red,Yellow,Red
1.1.3,6,Impossible,Off,On,Yellow,Purple,Red
1.1.3,6,Impossible,Off,On,Purple,Blue,Yellow
1.1.3,6,Impossible,Off,On,Purple,Green,Red
1.1.3,6,Impossible,Off,On,Blue,Yellow,Green
1.1.3,6,Impossible,Off,On,Blue,Blue,Blue
1.1.3,6,Impossible,Off,On,Blue,Green,Green
1.1.3,6,Impossible,Off,On,Purple,Purple,Yellow
1.1.3,6,Impossible,Off,On,Purple,Purple,Red
1.1.3,6,Impossible,Off,On,Yellow,Red,Green
1.1.3,6,Impossible,Off,On,Purple,Yellow,Yellow
1.1.3,6,Impossible,Off,On,Blue,Purple,Blue
1.1.3,6,Impossible,Off,On,Purple,Blue,Purple
1.1.3,6,Impossible,Off,On,Green,Red,Purple
1.1.3,6,Impossible,Off,On,Green,Purple,Blue
1.1.3,6,Impossible,Off,On,Purple,Red,Red
1.1.3,6,Impossible,Off,On,Purple,Yellow,Yellow
1.1.3,6,Impossible,Off,On,Purple,Green,Blue
1.1.3,6,Impossible,Off,On,Yellow,Yellow,Blue
1.1.3,6,Impossible,Off,On,Red,Yellow,Blue
1.1.3,6,Impossible,Off,On,Blue,Purple,Yellow
1.1.3,6,Impossible,Off,On,Purple,Green,Purple
